word,kana,level,topic
仰ぐ,あおぐ,N1,動作
麻,あさ,N1,買い物
宛,あて,N1,仕事
誤る,あやまる,N1,仕事
合わせ,あわせ,N1,買い物
異議,いぎ,N1,仕事
生ける,いける,N1,趣味
意向,いこう,N1,仕事
移行,いこう,N1,仕事
営,えい,N1,社会
液,えき,N1,学校
大まか,おおまか,N1,仕事
公,おおやけ,N1,社会
おごる,おごる,N1,食べ物
納まる,おさまる,N1,家
雄,おす,N1,自然
界,かい,N1,仕事
改修,かいしゅう,N1,街
会談,かいだん,N1,社会
介抱,かいほう,N1,体
掛け,かけ,N1,家
加工,かこう,N1,仕事
河川,かせん,N1,自然
化繊,かせん,N1,買い物
片,かた,N1,体
且つ,かつ,N1,接続詞
干渉,かんしょう,N1,人
幹線,かんせん,N1,交通
街頭,がいとう,N1,社会
規格,きかく,N1,仕事
基金,ききん,N1,社会
棄権,きけん,N1,趣味
気象,きしょう,N1,自然
狂,きょう,N1,趣味
強,きょう,N1,時間
教科,きょうか,N1,学校
協会,きょうかい,N1,社会
くじ,くじ,N1,趣味
懸賞,けんしょう,N1,趣味
賢明,けんめい,N1,仕事
現行,げんこう,N1,社会
故,こ,N1,社会
好意,こうい,N1,あいさつ
好況,こうきょう,N1,仕事
抗議,こうぎ,N1,社会
講習,こうしゅう,N1,学校
高尚,こうしょう,N1,趣味
行進,こうしん,N1,趣味
向上,こうじょう,N1,仕事
抗争,こうそう,N1,社会
構想,こうそう,N1,仕事
後退,こうたい,N1,社会
口頭,こうとう,N1,仕事
好評,こうひょう,N1,買い物
公用,こうよう,N1,仕事
公立,こうりつ,N1,学校
細菌,さいきん,N1,体
採算,さいさん,N1,仕事
さらう,さらう,N1,趣味
障る,さわる,N1,体
潮,しお,N1,自然
支持,しじ,N1,社会
使命,しめい,N1,仕事
宗,しゅう,N1,社会
署,しょ,N1,社会
症,しょう,N1,体
証,しょう,N1,学校
神聖,しんせい,N1,社会
自転,じてん,N1,学校
嬢,じょう,N1,仕事
政策,せいさく,N1,社会
盛装,せいそう,N1,買い物
正当,せいとう,N1,社会
専修,せんしゅう,N1,学校
戦闘,せんとう,N1,社会
捜索,そうさく,N1,社会
具わる,そなわる,N1,仕事
そり,そり,N1,趣味
反る,そる,N1,家
丈,たけ,N1,買い物
だと,だと,N1,自然
乳,ちち,N1,自然
中傷,ちゅうしょう,N1,社会
著,ちょ,N1,趣味
造り,つくり,N1,家
つじつま,つじつま,N1,仕事
つぶる,つぶる,N1,体
天,てん,N1,自然
転回,てんかい,N1,交通
当,とう,N1,仕事
貴い,とうとい,N1,社会
どころか,どころか,N1,助詞
なんか,なんか,N1,助詞
刃,は,N1,家
派,は,N1,社会
繁栄,はんえい,N1,社会
ひび,ひび,N1,家
布巾,ふきん,N1,家
耽る,ふける,N1,趣味
老ける,ふける,N1,体
富豪,ふごう,N1,社会
負債,ふさい,N1,仕事
兵器,へいき,N1,社会
閉口,へいこう,N1,自然
法学,ほうがく,N1,学校
干し,ほし,N1,食べ物
負かす,まかす,N1,趣味
増し,まし,N1,買い物
またがる,またがる,N1,自然
まみれ,まみれ,N1,様子
未知,みち,N1,学校
斑,むら,N1,仕事
設ける,もうける,N1,仕事
腿,もも,N1,体
漏る,もる,N1,家
病む,やむ,N1,体
勇敢,ゆうかん,N1,社会
養護,ようご,N1,仕事
良心,りょうしん,N1,社会
セックス,セックス,N1,体
マイ,マイ,N1,交通
脂,あぶら,N2,食べ物
位,い,N2,趣味
幾,いく,N2,自然
緯度,いど,N2,自然
飢える,うえる,N2,社会
写る,うつる,N2,趣味
園,えん,N2,学校
貝,かい,N2,自然
快晴,かいせい,N2,自然
回転,かいてん,N2,仕事
各,かく,N2,仕事
歌謡,かよう,N2,趣味
感,かん,N2,様子
巻,かん,N2,趣味
館,かん,N2,学校
刊,かん,N2,趣味
楽器,がっき,N2,趣味
期,き,N2,仕事
機,き,N2,家
教,きょう,N2,社会
斬る,きる,N2,趣味
懸命,けんめい,N2,仕事
孝行,こうこう,N2,家
肯定,こうてい,N2,仕事
校庭,こうてい,N2,学校
再,さい,N2,体
最,さい,N2,買い物
捜す,さがす,N2,持ち物
酸性,さんせい,N2,学校
四季,しき,N2,自然
縞,しま,N2,買い物
汁,しる,N2,食べ物
重体,じゅうたい,N2,体
戦,せん,N2,趣味
専制,せんせい,N2,社会
艘,そう,N2,交通
総,そう,N2,社会
建つ,たつ,N2,街
付,つき,N2,交通
吊る,つる,N2,家
定価,ていか,N2,買い物
滴,てき,N2,体
転々,てんてん,N2,仕事
伝記,でんき,N2,趣味
捕る,とる,N2,自然
採る,とる,N2,仕事
倣う,ならう,N2,仕事
掃く,はく,N2,家
泊,はく,N2,交通
初めに,はじめに,N2,副詞
反,はん,N2,社会
非,ひ,N2,社会
費,ひ,N2,仕事
陽射し,ひざし,N2,自然
副,ふく,N2,仕事
副詞,ふくし,N2,学校
古,ふる,N2,買い物
遍,へん,N2,学校
防,ぼう,N2,社会
防止,ぼうし,N2,社会
未,み,N2,買い物
惨め,みじめ,N2,趣味
診る,みる,N2,体
問,もん,N2,学校
軟らかい,やわらかい,N2,食べ物
友好,ゆうこう,N2,社会
要旨,ようし,N2,学校
幼児,ようじ,N2,家
慶ぶ,よろこぶ,N2,あいさつ
料,りょう,N2,買い物
両,りょう,N2,体
寮,りょう,N2,学校
領,りょう,N2,社会
遭う,あう,N3,自然
悪,あく,N3,社会
明ける,あける,N3,時間
温かい,あたたかい,N3,食べ物
暖まる,あたたまる,N3,家
暖める,あたためる,N3,食べ物
当り,あたり,N3,趣味
著す,あらわす,N3,趣味
現す,あらわす,N3,様子
異,い,N3,仕事
意,い,N3,あいさつ
行き,いき,N3,交通
医師,いし,N3,体
意地,いじ,N3,人
異常,いじょう,N3,仕事
依然,いぜん,N3,様子
傷める,いためる,N3,体
衣料,いりょう,N3,買い物
討つ,うつ,N3,趣味
撃つ,うつ,N3,趣味
映す,うつす,N3,仕事
産む,うむ,N3,自然
柄,え,N3,家
王,おう,N3,社会
負う,おう,N3,仕事
贈る,おくる,N3,買い物
納める,おさめる,N3,社会
治める,おさめる,N3,社会
織る,おる,N3,仕事
恩,おん,N3,人
飼う,かう,N3,家
帰す,かえす,N3,家
替える,かえる,N3,家
代える,かえる,N3,あいさつ
換える,かえる,N3,買い物
罹る,かかる,N3,体
掻く,かく,N3,体
核,かく,N3,仕事
格,かく,N3,趣味
欠く,かく,N3,仕事
